exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,skip_mode,True,False,16,0.005,48,96,512,32,4,12,13,128,11dropout,norm_type,num_heads,bs,0.001,64,8,6,9,5dropout,256,9dropout,conv,mha,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout
2024-08-17 23:58,19659.967,80.82495880126953,81123.71,36.91867065429688,88171.99,18.78973197937012,18,79259.07,37.27720642089844,30894.744,68.1030502319336,85335.984,2.6637604236602783,5,81839.98,1.2818433046340942,82060.72,13.62411117553711,89264.01,-3.0712194442749023,1,fullconv,seq_len,use_pos,e_layers,d,,last_d,,,,,conv_out_d,,,batch,16,1024,,feat_conv_k,pos_d,tok_conv_k,,0.2,tok_d,,,,,,,,,,,,,,,,,,
2024-08-17 23:34,11945.182,87.06672668457031,74628.27,42.39677810668945,79373.5,9.688244819641112,40,74944.55,44.686859130859375,12700.281,87.57759094238281,78405.086,16.832883834838867,38,76429.336,16.106510162353516,18657.602,79.09040069580078,85282.12,32.62188720703125,23,fullconv,seq_len,use_pos,pos_d,,hid_d,last_d,,,,,,feat_conv_k,,batch,8,1024,d,time_d,tok_conv_k,,conv_out_d,0.2,tok_d,,,,,,,,,,,,,,,,,,
2024-08-17 22:56,54664.61,39.86274337768555,100779.91,19.33114051818848,86852.43,8.40231704711914,14,88841.99,-1.20427405834198,82105.26,15.268959999084473,81320.25,3.3606271743774414,1,81320.25,3.3606271743774414,82105.26,15.268959999084473,88841.99,-1.20427405834198,1,conv_mlpconv,seq_len,use_pos,pos_d,d,last_d,,,time_d,e_layers,,conv_out_d,,0.1,batch,8,1024,,feat_conv_k,tok_conv_k,,,,tok_d,,,,,,,,,,,,,,,,,,
2024-08-17 23:22,7444.381,92.20677185058594,71358.64,35.83751678466797,72905.99,26.53404998779297,45,69423.516,33.12554931640625,14926.469,83.87948608398438,74948.85,21.2399959564209,30,70989.55,28.57577514648437,17126.092,82.77307891845703,70582.0,40.222015380859375,24,conv_mlpconv,seq_len,use_pos,lr,d,last_d,,,e_layers,pos_d,,,,0.2,batch,32,1024,,time_d,tok_conv_k,,conv_out_d,,feat_conv_k,,,,,,,,,,,,,,,,,,
2024-08-17 23:41,9865.459,89.97356414794922,76213.914,48.048099517822266,79705.03,30.54863739013672,46,75049.19,44.91962432861328,12165.548,86.8703384399414,77023.79,25.790367126464844,36,69842.586,25.96592712402344,59172.023,42.644832611083984,81189.76,26.845333099365234,5,conv_mlpconv,mlp,seq_len,e_layers,,,,,,pos_d,,,tok_d,,batch,8,1024,d,feat_conv_k,time_d,tok_conv_k,conv_out_d,,,0.1,,,,,,,,,,,,,,,,,
2024-08-17 23:25,25974.89,73.28152465820312,293072.44,-7.793649196624756,96283.266,10.688857078552246,19,89585.16,-4.3944268226623535,82058.305,12.41558074951172,82228.22,-0.1890100985765457,1,82228.22,-0.1890100985765457,82058.305,12.41558074951172,89585.16,-4.3944268226623535,1,conv_mlpconv,seq_len,use_pos,pos_d,,hid_d,last_d,,e_layers,,,conv_out_d,tok_d,,batch,16,1024,d,feat_conv_k,tok_conv_k,,,0.2,,,,,,,,,,,,,,,,,,,
2024-08-17 23:44,9830.427,89.8556900024414,79055.73,40.8671989440918,70129.57,32.305137634277344,30,80116.13,42.32339477539063,10954.333,88.79813385009766,66915.8,37.038360595703125,29,70129.57,32.305137634277344,9830.427,89.8556900024414,79055.73,40.8671989440918,30,fullconv,use_pos,seq_len,time_d,,last_d,,tok_d,,e_layers,,conv_out_d,,,batch,16,1024,d,feat_conv_k,,tok_conv_k,,0.1,,,,,,,,,,,,,,,,,,,
2024-08-17 22:54,15291.642,83.5358657836914,107085.01,26.3327751159668,79661.34,28.37240028381348,30,89233.54,-2.9338161945343018,82064.734,13.719209671020508,81800.734,1.4343698024749756,1,81800.734,1.4343698024749756,82064.734,13.719209671020508,89233.54,-2.9338161945343018,1,fullconv,mlp,seq_len,lr,d,,time_d,tok_d,,,,,,,batch,4,1024,,hid_d,tok_conv_k,,conv_out_d,0.2,feat_conv_k,,,,,,,,,,,,,,,,,,
2024-08-17 22:57,7691.127,92.0606689453125,79232.82,33.98077774047852,81914.69,17.26544189453125,35,77552.625,38.01519393920898,12780.206,86.51902770996094,81257.625,20.508419036865234,21,79382.23,18.086034774780277,11043.602,88.4382095336914,75522.42,38.94811248779297,26,fullconv,mha,seq_len,pos_d,,last_d,,,e_layers,,tok_conv_k,conv_out_d,feat_conv_k,,batch,4,1024,d,,,,,,,0.1,,,,,,,,,,,,,,,,,
2024-08-17 23:34,18406.445,79.4394302368164,72875.78,48.73894119262695,77597.836,20.6406192779541,23,69179.99,39.09725570678711,24770.47,75.35546875,82016.1,4.8030924797058105,15,77123.93,31.729026794433597,21749.654,77.1121826171875,82442.664,44.0207633972168,26,conv_mlpconv,mha,seq_len,lr,d,hid_d,time_d,tok_d,,pos_d,,conv_out_d,,,batch,8,1024,,,tok_conv_k,,,,feat_conv_k,0.2,,,,,,,,,,,,,,,,,
